2800,2100,2105
Announcers,"Lawyers, Judges, magistrates, and other judicial workers",Judicial law clerks
2810,2105,2145
"News analysts, reporters, and correspondents",Judicial law clerks,Paralegals and legal assistants
2820,2110,2170
Public relations specialists,"Judges, magistrates, and other judicial workers","Title examiners, abstractors, and searchers"
2830,2145,2180
Editors,Paralegals and legal assistants,"Legal support workers, all other"
2840,2160,2205
Technical writers,Miscellaneous legal support workers,Postsecondary teachers
2850,2200,2300
Writers and authors,Postsecondary teachers,Preschool and kindergarten teachers
2860,2300,2310
Miscellaneous media and communications workers,Preschool and kindergarten teachers,Elementary and middle school teachers
2900,2310,2320
Broadcast and sound engineering technicians and radio operators,Elementary and middle school teachers,Secondary school teachers
2910,2320,2330
Photographers,Secondary school teachers,Special education teachers
2920,2330,2350
"Television, video, and motion picture camera operators and editors",Special education teachers,Tutors
2960,2340,2360
"Media and communications workers, all other",Other teachers and instructors,Other teachers and instructors
3000,2400,2400
Chiropractors,"Archivists, curators, and museum technicians","Archivists, curators, and museum technicians"
3010,2430,2435
Dentists,Librarians,Librarians and media collections specialists
3020,2440,2440
Not used,Library technicians,Library technicians
3030,2540,2545
Dietitians and nutritionists,Teacher assistants,Teaching assistants
3040,2550,2555
Optometrists,"Other education, training, and library workers",Other educational instruction and library workers
3050,2600,2600
Pharmacists,Artists and related workers,Artists and related workers
3060,2630,2631
Physicians and surgeons,Designers,Commercial and industrial designers
3110,2700,2632
Physician assistants,Actors,Fashion designers
3120,2710,2633
Podiatrists,Producers and directors,Floral designers
3130,2720,2634
Registered nurses,"Athletes, coaches, umpires, and related workers",Graphic designers
3140,2730,2635
Audiologists,Not used,Interior designers
3150,2740,2636
Occupational therapists,Dancers and choreographers,Merchandise displayers and window trimmers
3160,2750,2640
Physical therapists,"Musicians, singers, and related workers",Other designers
3200,2760,2700
Radiation therapists,"Entertainers and performers, sports and related workers, all other",Actors
3210,2800,2710
Recreational therapists,Announcers,Producers and directors
3220,2810,2721
Respiratory therapists,"News analysts, reporters, and correspondents",Athletes and sports competitors
3230,2825,2722
Speech-language pathologists,Public relations specialists,Coaches and scouts
3240,2830,2723
"Therapists, all other",Editors,"Umpires, referees, and other sports officials"
3250,2840,2740
Veterinarians,Technical writers,Dancers and choreographers
3260,2850,2751
"Health diagnosing and treating practitioners, all other",Writers and authors,Music directors and composers
3300,2860,2752
Clinical laboratory technologists and technicians,Miscellaneous media and communications workers,Musicians and singers
3310,2900,2755
Dental hygienists,Broadcast and sound engineering technicians and radio operators,"Disc jockeys, except radio"
3320,2910,2770
Diagnostic related technologists and technicians,Photographers,"Entertainers and performers, sports and related workers, all other"
3400,2920,2805
Emergency medical technicians and paramedics,"Television, video, and motion picture camera operators and editors",Broadcast announcers and radio disc jockeys
3410,2960,2810
Health diagnosing and treating practitioner support technicians,"Media and communications workers, all other","News analysts, reporters, and journalists"
3500,3000,2825
Licensed practical and licensed vocational nurses,Chiropractors,Public relations specialists
3510,3010,2830
Medical records and health information technicians,Dentists,Editors
3520,3020,2840
"Opticians, dispensing",Not used,Technical writers
3530,3030,2850
Miscellaneous health technologists and technicians,Dietitians and nutritionists,Writers and authors
3540,3040,2861
Other healthcare practitioners and technical occupations,Optometrists,Interpreters and translators
3600,3050,2862
"Nursing, psychiatric, and home health aides",Pharmacists,Court reporters and simultaneous captioners
3610,3060,2865
Occupational therapist assistants and aides,Physicians and surgeons,"Media and communication workers, all other"
3620,3110,2905
Physical therapist assistants and aides,Physician assistants,"Broadcast, sound, and lighting technicians"
3630,3120,2910
Massage therapists,Podiatrists,Photographers
3640,3140,2920
Dental assistants,Audiologists,"Television, video, and film camera operators and editors"
3650,3150,3000
Medical assistants and other healthcare support occupations,Occupational therapists,Chiropractors
3700,3160,3010
First-line supervisors/managers of correctional officers,Physical therapists,Dentists
3710,3200,3030
First-line supervisors/managers of police and detectives,Radiation therapists,Dietitians and nutritionists
3720,3210,3040
First-line supervisors/managers of fire fighting and preventions workers,Recreational therapists,Optometrists
3730,3220,3050
"Supervisors, protective service workers, all other",Respiratory therapists,Pharmacists
3740,3230,3090
Fire fighters,Speech-language pathologists,Other physicians
3750,3235,3100
Fire inspectors,Exercise Physiologists,Surgeons
3800,3245,3110
"Bailiffs, correctional officers, and jailers","Therapists, all other",Physician assistants
3810,3250,3120
Not used,Veterinarians,Podiatrists
3820,3255,3140
Detectives and criminal investigators,Registered nurses,Audiologists
3830,3256,3150
Fish and game wardens,Nurse anesthetists,Occupational therapists
3840,3257,3160
Parking enforcement workers,Nurse midwives,Physical therapists
3850,3258,3200
Police and sheriff's patrol officers,Nurse practitioners,Radiation therapists
3860,3260,3210
Transit and railroad police,"Health diagnosing and treating practitioners, all other",Recreational therapists
3900,3300,3220
Animal control workers,Clinical laboratory technologists and technicians,Respiratory therapists
3910,3310,3230
Private detectives and investigators,Dental hygienists,Speech-language pathologists
3920,3320,3245
Security guards and gaming surveillance officers,Diagnostic related technologists and technicians,"Therapists, all other"
3940,3400,3250
Crossing guards,Emergency medical technicians and paramedics,Veterinarians
3950,3420,3255
Lifeguards and other protective service workers,Health practitioner support technologists and technicians,Registered nurses
4000,3500,3256
Chefs and head cooks,Licensed practical and licensed vocational nurses,Nurse anesthetists
4010,3510,3258
First-line supervisors/managers of food preparation and serving workers,Medical records and health information technicians,Nurse practitioners
4020,3520,3261
Cooks,"Opticians, dispensing",Acupuncturists
4030,3535,3270
Food preparation workers,Miscellaneous health technologists and technicians,"Healthcare diagnosing or treating practitioners, all other"
4040,3540,3300
Bartenders,Other healthcare practitioners and technical occupations,Clinical laboratory technologists and technicians
4050,3600,3310
"Combined food preparation and serving workers, including fast food","Nursing, psychiatric, and home health aides",Dental hygienists
4060,3610,3321
"Counter attendants, cafeteria, food concession, and coffee shop",Occupational therapist assistants and aides,Cardiovascular technologists and technicians
4110,3620,3322
Waiters and waitresses,Physical therapist assistants and aides,Diagnostic medical sonographers
4120,3630,3323
"Food servers, nonrestaurant",Massage therapists,Radiologic technologists and technicians
4130,3640,3324
"Dining room and cafeteria attendants, bartender helpers, and miscellaneous food preparation and serving related workers",Dental assistants,Magnetic resonance imaging technologists
4140,3645,3330
Dishwashers,Medical assistants,Nuclear medicine technologists and medical dosimetrists
4150,3646,3401
"Hosts and hostesses, restaurant, lounge, and coffee shop",Medical transcriptionists,Emergency medical technicians
4160,3647,3402
"Food preparation and serving related workers, all other",Pharmacy aides,Paramedics
4200,3648,3421
First-line supervisors/managers of housekeeping and janitorial workers,Veterinary assistants and labratory animal caretakers,Pharmacy technicians
4210,3649,3422
"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",Phlebotmists,Psychiatric technicians
4220,3655,3423
Janitors and building cleaners,"Miscellaneous healthcare support occupations, including medical equipment preparers",Surgical technologists
4230,3700,3424
Maids and housekeeping cleaners,First-line supervisors/managers of correctional officers,Veterinary technologists and technicians
4240,3710,3430
Pest control workers,First-line supervisors/managers of police and detectives,Dietetic technicians and ophthalmic medical technicians
4250,3720,3500
Grounds maintenance workers,First-line supervisors/managers of fire fighting and preventions workers,Licensed practical and licensed vocational nurses
4300,3730,3515
First-line supervisors/managers of gaming workers,"Supervisors, protective service workers, all other",Medical records specialists
4310,3740,3520
Not used,Fire fighters,"Opticians, dispensing"
4320,3750,3545
First-line supervisors/managers of personal service workers,Fire inspectors,Miscellaneous health technologists and technicians
4330,3800,3550
Not used,"Bailiffs, correctional officers, and jailers",Other healthcare practitioners and technical occupations
4340,3810,3601
Animal trainers,Not used,Home health aides
4350,3820,3602
Nonfarm animal caretakers,Detectives and criminal investigators,Personal care aides
4400,3830,3603
Gaming services workers,Fish and game wardens,Nursing assistants
4410,3840,3605
Motion picture projectionists,Parking enforcement workers,Orderlies and psychiatric aides
4420,3850,3610
"Ushers, lobby attendants, and ticket takers",Police and sheriff's patrol officers,Occupational therapy assistants and aides
4430,3860,3620
Miscellaneous entertainment attendants and related workers,Transit and railroad police,Physical therapist assistants and aides
4460,3900,3630
Funeral service workers,Animal control workers,Massage therapists
4500,3910,3640
Barbers,Private detectives and investigators,Dental assistants
4510,3930,3645
"Hairdressers, hairstylists, and cosmetologists",Security guards and gaming surveillance officers,Medical assistants
4520,3940,3646
Miscellaneous personal appearance workers,Crossing guards,Medical transcriptionists
4530,3945,3647
"Baggage porters, bellhops, and concierges",Transportation security screeners,Pharmacy aides
4540,3955,3648
Tour and travel guides,"Lifeguards and other recreational, and all other protective service workers",Veterinary assistants and laboratory animal caretakers
4550,4000,3649
Transportation attendants,Chefs and head cooks,Phlebotomists
4600,4010,3655
Child care workers,First-line supervisors/managers of food preparation and serving workers,Other healthcare support workers
4610,4020,3700
Personal and home care aides,Cooks,First-line supervisors of correctional officers
4620,4030,3710
Recreation and fitness workers,Food preparation workers,First-line supervisors of police and detectives
4630,4040,3720
Not used,Bartenders,First-line supervisors of firefighting and prevention workers
4640,4050,3725
Residential advisors,"Combined food preparation and serving workers, including fast food",First-line supervisors of security workers
4650,4060,3740
"Personal care and service workers, all other","Counter attendants, cafeteria, food concession, and coffee shop",Firefighters
4700,4110,3750
First-line supervisors/managers of retail sales workers,Waiters and waitresses,Fire inspectors
4710,4120,3801
First-line supervisors/managers of non-retail sales workers,"Food servers, nonrestaurant",Bailiffs
4720,4130,3802
Cashiers,"Dining room and cafeteria attendants, bartender helpers, and miscellaneous food preparation and serving related workers",Correctional officers and jailers
4730,4140,3820
Not used,Dishwashers,Detectives and criminal investigators
4740,4150,3840
Counter and rental clerks,"Hosts and hostesses, restaurant, lounge, and coffee shop",Parking enforcement workers
4750,4160,3870
Parts salespersons,"Food preparation and serving related workers, all other",Police officers
4760,4200,3900
Retail salespersons,First-line supervisors/managers of housekeeping and janitorial workers,Animal control workers
4800,4210,3910
Advertising sales agents,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",Private detectives and investigators
4810,4220,3930
Insurance sales agents,Janitors and building cleaners,Security guards and gambling surveillance officers
4820,4230,3940
"Securities, commodities, and financial services sales agents",Maids and housekeeping cleaners,Crossing guards and flaggers
4830,4240,3945
Travel agents,Pest control workers,Transportation security screeners
4840,4250,3946
"Sales representatives, services, all other",Grounds maintenance workers,School bus monitors
4850,4300,3960
"Sales representatives, wholesale and manufacturing",First-line supervisors/managers of gaming workers,Other protective service workers
4900,4310,4000
"Models, demonstrators, and product promoters",Not used,Chefs and head cooks
4910,4320,4010
Not used,First-line supervisors/managers of personal service workers,First-line supervisors of food preparation and serving workers
4920,4330,4020
Real estate brokers and sales agents,Not used,Cooks
4930,4340,4030
Sales engineers,Animal trainers,Food preparation workers
4940,4350,4040
Telemarketers,Nonfarm animal caretakers,Bartenders
4950,4400,4055
"Door-to-door sales workers, news and street vendors, and related workers",Gaming services workers,Fast food and counter workers
4960,4410,4110
"Sales and related workers, all other",Motion picture projectionists,Waiters and waitresses
5000,4420,4120
First-line supervisors/managers of office and administrative support workers,"Ushers, lobby attendants, and ticket takers","Food servers, nonrestaurant"
5010,4430,4130
"Switchboard operators, including answering service",Miscellaneous entertainment attendants and related workers,Dining room and cafeteria attendants and bartender helpers
5020,4460,4140
Telephone operators,Funeral service workers,Dishwashers
5030,4465,4150
"Communications equipment operators, all other","Morticians, undertakers, and funeral directors (2011 forward)","Hosts and hostesses, restaurant, lounge, and coffee shop"
5100,4500,4160
Bill and account collectors,Barbers,"Food preparation and serving related workers, all other"
5110,4510,4200
Billing and posting clerks and machine operators,"Hairdressers, hairstylists, and cosmetologists",First-line supervisors of housekeeping and janitorial workers
5120,4520,4210
"Bookkeeping, accounting, and auditing clerks",Miscellaneous personal appearance workers,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"
5130,4530,4220
